"","R","SPT","SEX","AGE","MARITAL","RACE1","RACE2","RACE3","EDU1","EDU2","EDU3","EDU4","INCOME","EXPEND","NWORTH"
"1",1,0,2,-1.48631373505733,5,1,0,0,0,0,1,0,0.93640703545898,-2.06107783148144,-9.21034037197618
"5",1,1,2,-0.186313735057331,3,1,0,0,0,0,1,0,1.09861228866811,-1.59172079162894,-9.21034037197618
"7",1,1,2,1.51368626494267,5,1,0,0,0,1,0,0,0.793716235481641,-1.89157982660971,-9.21034037197618
"8",1,0,2,0.813686264942669,3,1,0,0,0,1,0,0,0.889946756534553,-2.10564860647425,-9.21034037197618
"10",1,0,1,-0.686313735057331,2,1,0,0,0,0,1,0,-0.0114654781092781,-1.14216717037504,-9.21034037197618
"11",1,1,2,-0.586313735057331,3,1,0,0,0,0,1,0,1.02961941718116,-0.40055219624752,-9.21034037197618
"13",1,0,1,-0.486313735057331,1,1,0,0,0,0,1,0,1.64865862558738,-0.919337042169319,-9.21034037197618
"15",1,0,2,-1.68631373505733,4,0,1,0,0,1,0,0,0.048790164169432,-1.44689398324882,-9.21034037197618
"16",1,1,1,-2.08631373505733,1,1,0,0,0,1,0,0,1.09861228866811,-1.63347449026234,-9.21034037197618
"17",1,1,1,-1.48631373505733,5,1,0,0,0,1,0,0,1.33802281244619,-0.720364226853498,-9.21034037197618
"18",1,0,2,1.01368626494267,4,1,0,0,0,0,0,1,-2.09394622788272,-1.16395112997645,-9.21034037197618
"21",1,1,2,-1.08631373505733,5,1,0,0,0,0,1,0,0.145138765666239,-0.994454996593539,-9.21034037197618
"22",1,0,2,0.413686264942669,3,1,0,0,0,0,0,1,1.64865862558738,-1.3084695079916,-9.21034037197618
"23",1,1,1,-1.98631373505733,5,1,0,0,0,0,0,1,0.916290731874155,-0.885155502943444,-9.21034037197618
"24",1,1,2,0.413686264942669,1,1,0,0,0,0,1,0,1.97408102602201,0.276437842371927,-9.21034037197618
"26",1,0,2,-1.48631373505733,1,0,1,0,0,0,1,0,1.43413169053405,-1.39063709716266,-9.21034037197618
"27",1,0,1,-0.586313735057331,1,1,0,0,0,0,1,0,1.16315080980568,-1.63903836504301,-9.21034037197618
"29",1,1,2,-0.486313735057331,1,1,0,0,0,0,0,1,-1.56064774826467,-0.655401920737408,-9.21034037197618
"30",1,1,2,0.513686264942669,3,1,0,0,0,1,0,0,-0.0520304080943842,-0.685446903933757,-9.21034037197618
"32",1,0,2,-1.88631373505733,1,1,0,0,0,1,0,0,1.43513214320319,-1.11797350320124,-9.21034037197618
"33",1,1,1,-0.186313735057331,1,1,0,0,0,0,0,1,2.10413415427021,-0.284708723903631,-9.21034037197618
"34",1,1,2,0.713686264942669,1,1,0,0,0,0,0,1,-6.90775527898214,0.523003906533656,-9.21034037197618
"35",1,0,2,-0.886313735057331,3,1,0,0,0,1,0,0,0.641853886172395,-1.3617968895195,-9.21034037197618
"37",1,0,2,0.213686264942669,1,1,0,0,0,0,1,0,2.16916797955369,-0.00551518068811011,-9.21034037197618
"39",1,1,2,-1.18631373505733,5,1,0,0,0,1,0,0,1.06471073699243,-1.03408939265261,-9.21034037197618
"40",1,1,1,0.413686264942669,5,1,0,0,0,0,1,0,-3.50655789731998,-1.66883410470416,-9.21034037197618
"41",1,1,2,-0.786313735057331,1,0,1,0,1,0,0,0,-0.321859524253368,-2.07322092986678,-9.21034037197618
"43",1,0,2,-0.886313735057331,1,1,0,0,0,1,0,0,2.20121659860576,-1.33477774567034,-9.21034037197618
"45",1,0,2,-0.986313735057331,2,1,0,0,0,1,0,0,0.796425530013447,-0.875708758156588,-9.21034037197618
"46",1,0,1,-0.186313735057331,3,1,0,0,0,0,1,0,0.955511445027436,-1.33503106718235,-9.21034037197618
"47",1,1,2,0.713686264942669,4,1,0,0,1,0,0,0,0.349247428109936,-0.938600248794016,-9.21034037197618
"48",1,0,2,-1.48631373505733,1,1,0,0,0,1,0,0,-0.148964153139958,-1.31211496294564,-9.21034037197618
"51",1,1,2,-2.28631373505733,5,0,1,0,0,0,0,1,1.70474809223843,-1.20800870429146,-9.21034037197618
"52",1,0,1,-0.386313735057331,1,1,0,0,0,0,0,1,1.6094379124341,0.395684096253059,-9.21034037197618
"53",1,1,2,-1.58631373505733,4,1,0,0,0,1,0,0,0.518793793415168,-1.13266040280768,-9.21034037197618
"54",1,1,1,-1.58631373505733,5,0,1,0,0,1,0,0,-1.24063678869753,-2.50103603171788,-9.21034037197618
"55",1,1,1,-1.58631373505733,5,0,0,1,0,1,0,0,0.78845736036427,-2.39479172379269,-9.21034037197618
"56",1,0,1,0.513686264942669,1,1,0,0,0,1,0,0,1.00063188030791,-0.28340235020826,-9.21034037197618
"57",1,0,1,0.0136862649426694,1,1,0,0,0,0,0,1,2.69462718077007,1.15888965019667,-9.21034037197618
"58",1,0,2,-0.686313735057331,3,0,1,0,0,1,0,0,1.2947271675944,0.5173741373707,-9.21034037197618
"59",1,0,1,0.613686264942669,1,1,0,0,0,1,0,0,1.14084129288582,-2.29312993422329,-9.21034037197618
"60",1,1,1,0.813686264942669,1,1,0,0,1,0,0,0,1.94591014905531,-0.922602282874054,-9.21034037197618
"61",1,1,1,-0.986313735057331,1,1,0,0,0,0,0,1,1.98651726334761,0.239174368386737,-9.21034037197618
"63",1,0,1,-0.586313735057331,1,1,0,0,0,0,1,0,1.79259245553195,-0.0272941185745453,-9.21034037197618
"66",1,1,1,-0.386313735057331,1,1,0,0,0,1,0,0,-0.801177924773651,-0.17138161675562,-9.21034037197618
"67",1,1,1,-0.686313735057331,3,1,0,0,0,1,0,0,0.470003629245736,-0.323378337110055,-9.21034037197618
"68",1,0,1,-1.78631373505733,1,1,0,0,0,0,0,1,1.64865862558738,-1.19572911046773,-9.21034037197618
"69",1,0,2,0.713686264942669,1,1,0,0,0,1,0,0,1.68639895357023,-0.0234989502887622,-9.21034037197618
